Date,Open,High,Low,Close,Volume,Symbol,Daily_Return,Volatility,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,RSI,BB_Middle,BB_Upper,BB_Lower,Volume_MA,Volume_Ratio
2022-03-28 13:30:00,68.29000091552734,69.5199966430664,66.94999694824219,69.33000183105469,2771300,BLDR,,,,,,69.33000183105469,69.33000183105469,0.0,0.0,,,,,,
2022-03-29 13:30:00,70.58000183105469,72.98999786376953,70.43000030517578,71.8499984741211,2176800,BLDR,0.03634785196179857,,,,,70.69500001271567,70.63846162649301,0.05653838622265539,0.03141021456814188,,,,,,
2022-03-30 13:30:00,71.0199966430664,71.43000030517578,67.45999908447266,67.94999694824219,2117700,BLDR,-0.05427977186782551,,,,,69.62362468270177,69.67252237048274,-0.048897687780964816,-0.001502860165098567,,,,,,
2022-03-31 13:30:00,67.91999816894531,68.08999633789062,64.52999877929688,64.54000091552734,3685800,BLDR,-0.050183902661721236,,,,,68.01892332975892,68.23769366070704,-0.21877033094811793,-0.07510295189376365,,,,,,
2022-04-01 13:30:00,65.33999633789062,66.4800033569336,63.83000183105469,64.19999694824219,3169900,BLDR,-0.005268112216641696,,,,,66.98133468065456,67.30133513920694,-0.3200004585523857,-0.14795442341286824,,,,,,
2022-04-04 13:30:00,64.27999877929688,65.44000244140625,63.43000030517578,64.91999816894531,2505600,BLDR,0.011214972818200941,,,,,66.4803214617983,66.82437233692586,-0.3440508751275644,-0.20110746457935497,,,,,,
2022-04-05 13:30:00,64.45999908447266,65.37000274658203,62.459999084472656,62.63999938964844,2817700,BLDR,-0.03512013006167214,,,,,65.62336702765971,66.08020329946692,-0.4568362718072052,-0.2658256034649441,,,,,,
2022-04-06 13:30:00,60.900001525878906,61.369998931884766,59.619998931884766,59.939998626708984,4505900,BLDR,-0.04310346087560213,,,,,64.4373356407417,65.09086418269399,-0.6535285419522978,-0.35899791033882944,,,,,,
2022-04-07 13:30:00,58.7599983215332,60.459999084472656,58.599998474121094,59.869998931884766,3232500,BLDR,-0.0011678294365696784,,,,,63.53375387463263,64.31701733919796,-0.78326346456533,-0.45700535815741916,,,,,,
2022-04-08 13:30:00,59.93000030517578,62.0099983215332,59.529998779296875,59.86000061035156,2186400,BLDR,-0.00016700052967388856,,,,,62.837579058835,63.701992409369915,-0.8644133505349174,-0.5482883984514799,,,,,,
2022-04-11 13:30:00,59.099998474121094,62.38999938964844,58.79999923706055,60.7599983215332,2621200,BLDR,0.015035043468175413,,,,,62.457431877918566,63.32041484415243,-0.8629829662338651,-0.6171417717376222,,,,,,
2022-04-12 13:30:00,62.0,63.9900016784668,59.810001373291016,60.33000183105469,2377200,BLDR,-0.007076966793235218,,,,,62.07918179964027,62.952995487315256,-0.8738136876749891,-0.6722641348764473,,,,,,
2022-04-13 13:30:00,60.63999938964844,62.65999984741211,60.31999969482422,62.11000061035156,1764200,BLDR,0.029504371378630267,,,,,62.08453311597044,62.85423878953294,-0.7697056735625054,-0.692886149877765,,,,,,
2022-04-14 13:30:00,62.470001220703125,63.33000183105469,61.11000061035156,61.15999984741211,1798300,BLDR,-0.015295455701237248,,,,,61.92711461902554,62.66395559359069,-0.7368409745651547,-0.7020815319977538,29.58519294351214,,,,,
2022-04-18 13:30:00,61.0,62.040000915527344,60.189998626708984,60.79999923706055,2578200,BLDR,-0.005886210125077285,,,,,61.73830349700443,62.46232117422586,-0.7240176772214326,-0.7066287521275045,29.062331281036563,,,,,
2022-04-19 13:30:00,60.709999084472656,64.29000091552734,60.709999084472656,63.630001068115234,3263700,BLDR,0.046546083331686416,,,,,62.05092143582384,62.58447008338805,-0.5335486475642099,-0.6710101568883036,30.125728237452776,,,,,
2022-04-20 13:30:00,64.45999908447266,65.70999908447266,64.23999786376953,64.98999786376953,3640800,BLDR,0.02137351521019837,,,,,62.53114678647022,62.82865216025617,-0.29750537378595254,-0.5945883337978681,41.841233657673875,,,,,
2022-04-21 13:30:00,66.25,66.83000183105469,62.119998931884766,62.38999938964844,2599000,BLDR,-0.04000613262938013,,,,,62.50830234855097,62.78531403988736,-0.2770116913363907,-0.5299078248414354,43.79687753827136,,,,,
2022-04-22 13:30:00,62.52000045776367,63.29999923706055,61.119998931884766,61.40999984741211,1591400,BLDR,-0.01570763827253585,,,,,62.33195529563666,62.65271385108515,-0.3207585554484922,-0.48746632448219746,42.23706541986637,,,,,
2022-04-25 13:30:00,60.970001220703125,66.08999633789062,60.58000183105469,65.8499984741211,3144100,BLDR,0.07230090600457939,,63.426499366760254,,,62.893054873328566,62.95424209283747,-0.061187219508902047,-0.4012161061728799,52.143847060271895,63.426499366760254,70.11423232975032,56.738766403770185,2727385.0,1.1527892101775143
